fold,model,week,pnl
1,AR(1),0,-69.25012588500977
1,AR(1),1,-166.63002014160156
1,AR(1),2,209.83007431030276
1,AR(1),3,696.8798446655275
1,AR(1),4,-425.4698562622071
1,AR(1),5,329.80014801025396
1,AR(1),6,238.179988861084
1,AR(1),7,199.66997146606445
1,AR(1),8,439.469928741455
1,AR(1),9,-162.4700736999512
1,AR(1),10,276.39974594116217
1,AR(1),11,169.76005554199222
1,AR(1),12,272.0597648620606
1,AR(1),13,174.52003479003906
1,AR(1),14,-27.280006408691428
1,AR(1),15,329.1300392150879
1,AR(1),16,158.07998657226562
1,AR(1),17,396.2199592590332
1,AR(1),18,-16.140041351318352
1,AR(1),19,39.13991928100586
1,AR(1),20,111.48998260498047
1,AR(1),21,97.71997451782228
1,AR(1),22,69.11987304687503
1,AR(1),23,232.00992584228516
1,AR(1),24,469.5598793029785
1,AR(1),25,165.15012741088867
1,AR(1),26,-113.00014495849608
1,AR(1),27,224.00012969970703
1,AR(1),28,-9.810295104980474
1,AR(1),29,551.4501953125
1,LSTM,0,-137.76020050048828
1,LSTM,1,-16.34994506835938
1,LSTM,2,-11.419982910156257
1,LSTM,3,-79.86993789672853
1,LSTM,4,-64.24999237060547
1,LSTM,5,53.859958648681626
1,LSTM,6,111.25
1,LSTM,7,-190.2199363708496
1,LSTM,8,-287.1600341796875
1,LSTM,9,2.1200370788574396
1,LSTM,10,-149.2000961303711
1,LSTM,11,-108.17985534667969
1,LSTM,12,4.17987823486321
1,LSTM,13,-106.43995285034178
1,LSTM,14,-47.460021972656286
1,LSTM,15,125.87005615234376
1,LSTM,16,33.959960937500014
1,LSTM,17,-106.03998184204104
1,LSTM,18,63.29996109008793
1,LSTM,19,15.479965209960934
1,LSTM,20,-3.7000846862793035
1,LSTM,21,-49.01971817016603
1,LSTM,22,-130.57018280029297
1,LSTM,23,-77.40983963012695
1,LSTM,24,-68.32027435302736
1,LSTM,25,46.86021804809569
1,LSTM,26,-60.019950866699226
1,LSTM,27,3.7399673461914085
1,LSTM,28,-137.90004730224607
1,LSTM,29,19.680023193359375
1,XGBoost,0,243.83008956909185
1,XGBoost,1,-248.93005371093753
1,XGBoost,2,-346.400146484375
1,XGBoost,3,-132.36000061035153
1,XGBoost,4,-189.93007659912115
1,XGBoost,5,102.24014282226565
1,XGBoost,6,113.5800552368164
1,XGBoost,7,79.01998519897461
1,XGBoost,8,359.2000198364258
1,XGBoost,9,176.89010620117188
1,XGBoost,10,-44.54992294311525
1,XGBoost,11,45.929813385009766
1,XGBoost,12,-342.6400947570801
1,XGBoost,13,39.99999999999999
1,XGBoost,14,343.5799217224121
1,XGBoost,15,240.31009674072266
1,XGBoost,16,325.4201126098633
1,XGBoost,17,142.80979156494143
1,XGBoost,18,126.07006072998048
1,XGBoost,19,-125.86999893188475
1,XGBoost,20,-64.97005462646486
1,XGBoost,21,59.539794921875
1,XGBoost,22,119.16011810302733
1,XGBoost,23,225.97988128662112
1,XGBoost,24,241.07973098754888
1,XGBoost,25,244.36996459960935
1,XGBoost,26,77.3599815368652
1,XGBoost,27,-42.579860687255874
1,XGBoost,28,-4.610023498535146
1,XGBoost,29,731.7001342773439
1,Informer,0,-129.44000244140628
1,Informer,1,-23.990097045898434
1,Informer,2,22.30979919433591
1,Informer,3,551.0598373413087
1,Informer,4,-571.3599586486818
1,Informer,5,61.53009414672852
1,Informer,6,183.49979400634768
1,Informer,7,-100.29998779296872
1,Informer,8,105.89006423950194
1,Informer,9,-158.7001228332519
1,Informer,10,176.52984619140625
1,Informer,11,237.2402381896973
1,Informer,12,37.00002670288087
1,Informer,13,-90.99002838134767
1,Informer,14,133.8299751281738
1,Informer,15,344.7400093078613
1,Informer,16,21.00011825561523
1,Informer,17,-288.1800270080567
1,Informer,18,19.88994598388672
1,Informer,19,-83.44011306762697
1,Informer,20,-155.00011444091797
1,Informer,21,-82.48003005981445
1,Informer,22,170.05020141601568
1,Informer,23,87.43982315063477
1,Informer,24,165.4499626159667
1,Informer,25,23.63992691040039
1,Informer,26,-200.1301574707031
1,Informer,27,38.1298828125
1,Informer,28,-3.6501312255859397
1,Informer,29,-363.2600021362304
1,Autoformer,0,2.799835205078116
1,Autoformer,1,-0.039844512939431025
1,Autoformer,2,61.06027603149413
1,Autoformer,3,350.49007415771484
1,Autoformer,4,359.83982086181646
1,Autoformer,5,-275.85994720458984
1,Autoformer,6,243.04012298583984
1,Autoformer,7,-129.87998962402344
1,Autoformer,8,154.32001113891604
1,Autoformer,9,203.35990905761722
1,Autoformer,10,-49.42005157470703
1,Autoformer,11,35.44023513793945
1,Autoformer,12,171.32001876831055
1,Autoformer,13,35.849857330322266
1,Autoformer,14,117.45988845825197
1,Autoformer,15,193.31008911132812
1,Autoformer,16,-391.9699478149414
1,Autoformer,17,107.03996658325197
1,Autoformer,18,-107.5801467895508
1,Autoformer,19,63.41987609863281
1,Autoformer,20,154.00012969970703
1,Autoformer,21,50.260009765625
1,Autoformer,22,33.59008789062503
1,Autoformer,23,296.8898963928222
1,Autoformer,24,-164.8602294921875
1,Autoformer,25,52.87988662719726
1,Autoformer,26,-324.44019317626953
1,Autoformer,27,318.6100578308106
1,Autoformer,28,39.680042266845724
1,Autoformer,29,379.1199111938476
1,TimesNet,0,-195.8202171325684
1,TimesNet,1,-182.5700378417969
1,TimesNet,2,297.1002388000488
1,TimesNet,3,473.7599563598633
1,TimesNet,4,-513.0098342895509
1,TimesNet,5,104.78996276855467
1,TimesNet,6,226.7900657653809
1,TimesNet,7,-90.78001022338869
1,TimesNet,8,-293.6700630187988
1,TimesNet,9,-46.51002883911134
1,TimesNet,10,43.15992355346678
1,TimesNet,11,162.71011352539065
1,TimesNet,12,-357.2298812866211
1,TimesNet,13,121.17006301879884
1,TimesNet,14,457.2598648071289
1,TimesNet,15,134.61023330688477
1,TimesNet,16,-92.340030670166
1,TimesNet,17,-253.600025177002
1,TimesNet,18,-77.82014846801759
1,TimesNet,19,46.69992446899414
1,TimesNet,20,-221.20992660522464
1,TimesNet,21,-76.59021377563475
1,TimesNet,22,-597.7300071716309
1,TimesNet,23,-151.92007064819336
1,TimesNet,24,-92.0902442932129
1,TimesNet,25,68.81990432739258
1,TimesNet,26,-87.65987396240237
1,TimesNet,27,-359.3999481201172
1,TimesNet,28,153.6997985839844
1,TimesNet,29,494.31978225708
1,V-STGCN,0,-178.30001831054688
1,V-STGCN,1,-20.659961700439457
1,V-STGCN,2,-94.79007720947266
1,V-STGCN,3,-223.84984970092776
1,V-STGCN,4,399.319839477539
1,V-STGCN,5,278.03993225097656
1,V-STGCN,6,227.31006622314456
1,V-STGCN,7,87.29999542236328
1,V-STGCN,8,440.55000305175776
1,V-STGCN,9,-318.44007492065435
1,V-STGCN,10,-157.0400047302246
1,V-STGCN,11,-243.2200431823731
1,V-STGCN,12,-627.7199554443359
1,V-STGCN,13,-42.219829559326186
1,V-STGCN,14,409.65000152587896
1,V-STGCN,15,229.32003021240237
1,V-STGCN,16,200.59989929199222
1,V-STGCN,17,268.6000633239746
1,V-STGCN,18,-19.820041656494137
1,V-STGCN,19,137.43999481201172
1,V-STGCN,20,208.44991683959964
1,V-STGCN,21,-97.71003723144531
1,V-STGCN,22,-357.7800941467286
1,V-STGCN,23,172.15007781982422
1,V-STGCN,24,381.4099311828614
1,V-STGCN,25,205.95014572143552
1,V-STGCN,26,394.7299575805664
1,V-STGCN,27,1.1700439453125044
1,V-STGCN,28,-226.68994903564453
1,V-STGCN,29,-679.4100189208984
1,SC-STGCN,0,-85.12998580932619
1,SC-STGCN,1,-26.490001678466797
1,SC-STGCN,2,-80.62009811401367
1,SC-STGCN,3,-356.94982528686523
1,SC-STGCN,4,268.8400077819824
1,SC-STGCN,5,363.0500030517578
1,SC-STGCN,6,212.54022598266604
1,SC-STGCN,7,163.2600212097168
1,SC-STGCN,8,277.49004364013666
1,SC-STGCN,9,-34.19984817504884
1,SC-STGCN,10,-30.90036392211914
1,SC-STGCN,11,-168.44003677368164
1,SC-STGCN,12,-589.3600273132324
1,SC-STGCN,13,-56.9400978088379
1,SC-STGCN,14,456.97994232177746
1,SC-STGCN,15,178.90005111694336
1,SC-STGCN,16,-221.34998321533206
1,SC-STGCN,17,253.5100936889649
1,SC-STGCN,18,12.299880981445309
1,SC-STGCN,19,-28.459892272949205
1,SC-STGCN,20,276.4699172973633
1,SC-STGCN,21,-106.88007354736331
1,SC-STGCN,22,-564.1198921203614
1,SC-STGCN,23,195.37996292114258
1,SC-STGCN,24,-14.390239715576191
1,SC-STGCN,25,-3.200035095214857
1,SC-STGCN,26,333.71995925903326
1,SC-STGCN,27,234.89004135131836
1,SC-STGCN,28,129.2501258850098
1,SC-STGCN,29,919.5203018188478
2,AR(1),0,-109.34450149536134
2,AR(1),1,-37.84324645996094
2,AR(1),2,51.55622482299804
2,AR(1),3,369.48469161987305
2,AR(1),4,204.94054794311526
2,AR(1),5,-20.192794799804688
2,AR(1),6,100.25543212890624
2,AR(1),7,92.17176437377931
2,AR(1),8,158.94239425659183
2,AR(1),9,140.79364776611328
2,AR(1),10,143.9611434936524
2,AR(1),11,201.36880874633795
2,AR(1),12,78.15902709960938
2,AR(1),13,322.3172569274903
2,LSTM,0,56.67081832885743
2,LSTM,1,-49.3893814086914
2,LSTM,2,384.5970344543457
2,LSTM,3,156.46714210510254
2,LSTM,4,115.321102142334
2,LSTM,5,-43.02366256713868
2,LSTM,6,16.10048294067382
2,LSTM,7,97.99325942993164
2,LSTM,8,118.7051773071289
2,LSTM,9,-336.44216537475586
2,LSTM,10,117.98351287841797
2,LSTM,11,195.03440856933597
2,LSTM,12,65.50653457641603
2,LSTM,13,857.1142196655276
2,XGBoost,0,-134.4244384765625
2,XGBoost,1,148.84607315063477
2,XGBoost,2,-85.2873420715332
2,XGBoost,3,251.44914627075195
2,XGBoost,4,-197.41256713867188
2,XGBoost,5,-21.114368438720703
2,XGBoost,6,-68.80691528320314
2,XGBoost,7,-99.90144729614258
2,XGBoost,8,53.56637954711915
2,XGBoost,9,-22.931480407714822
2,XGBoost,10,62.18469619750977
2,XGBoost,11,160.11541366577148
2,XGBoost,12,-123.73645782470703
2,XGBoost,13,1167.7137756347656
2,Informer,0,-35.174522399902344
2,Informer,1,-39.435901641845696
2,Informer,2,-270.3459358215332
2,Informer,3,-173.10411453247073
2,Informer,4,78.80887985229492
2,Informer,5,10.88817596435547
2,Informer,6,323.26061248779297
2,Informer,7,-174.49945449829102
2,Informer,8,86.47937774658205
2,Informer,9,-17.71564483642577
2,Informer,10,-117.45586395263672
2,Informer,11,31.47520065307617
2,Informer,12,-119.35926437377931
2,Informer,13,702.3418807983398
2,Autoformer,0,-26.62229537963869
2,Autoformer,1,8.87529373168946
2,Autoformer,2,-346.0459709167481
2,Autoformer,3,264.44950103759766
2,Autoformer,4,-0.7050895690917991
2,Autoformer,5,-7.637062072753903
2,Autoformer,6,14.062519073486355
2,Autoformer,7,-68.11889648437501
2,Autoformer,8,-28.57610702514649
2,Autoformer,9,-66.06882095336914
2,Autoformer,10,78.26690673828125
2,Autoformer,11,73.34873199462892
2,Autoformer,12,-43.25300216674804
2,Autoformer,13,154.1638946533203
2,TimesNet,0,85.51981925964355
2,TimesNet,1,-54.7335433959961
2,TimesNet,2,103.62880706787112
2,TimesNet,3,270.35918235778814
2,TimesNet,4,21.0704231262207
2,TimesNet,5,79.32622909545898
2,TimesNet,6,-43.6431884765625
2,TimesNet,7,-15.719099044799789
2,TimesNet,8,-28.34070205688478
2,TimesNet,9,-30.15667915344237
2,TimesNet,10,155.69849967956543
2,TimesNet,11,100.74921607971193
2,TimesNet,12,6.242351531982412
2,TimesNet,13,321.9375801086426
2,V-STGCN,0,-38.619041442871094
2,V-STGCN,1,31.668663024902344
2,V-STGCN,2,277.8559684753418
2,V-STGCN,3,169.56660270690915
2,V-STGCN,4,109.33721542358401
2,V-STGCN,5,12.215213775634773
2,V-STGCN,6,99.62602615356444
2,V-STGCN,7,110.05516052246097
2,V-STGCN,8,79.03524398803712
2,V-STGCN,9,-114.53542709350586
2,V-STGCN,10,-11.942710876464826
2,V-STGCN,11,168.30523490905765
2,V-STGCN,12,-11.564693450927734
2,V-STGCN,13,518.0154800415039
2,SC-STGCN,0,12.048759460449228
2,SC-STGCN,1,-68.36065292358398
2,SC-STGCN,2,307.21729278564453
2,SC-STGCN,3,405.7887840270996
2,SC-STGCN,4,178.4282493591309
2,SC-STGCN,5,75.18192291259767
2,SC-STGCN,6,200.15535354614258
2,SC-STGCN,7,156.90992355346683
2,SC-STGCN,8,73.05797576904298
2,SC-STGCN,9,-302.47873306274414
2,SC-STGCN,10,-42.709407806396484
2,SC-STGCN,11,142.37977981567386
2,SC-STGCN,12,96.62513732910159
2,SC-STGCN,13,1287.9150390625002
